best_epoch,best_val_loss_model_space,config_alignn_layers,config_batch_size,config_gcn_layers,config_hidden_features,config_loss,config_lr,config_weight_decay,done_x,elapsed_seconds,epoch,iterations_since_restore,run_group,time_since_restore,time_this_iter_s,time_total_s,train_loss_model_space,training_iteration,trial_id,trial_name,val_loss_model_space,val_mae,val_r2,val_rmse,trial_id_short,trial_order_within_shard,selected_best_epoch,selected_val_loss_model_space,max_epoch,reported_rows,final_time_total_s,status,done_y,trial_order
16,0.1154326996396458,2,4,4,128,smoothl1,0.0004141492568436,6.390180504472745e-05,True,212.33926939964297,16,16,group_B,213.852632522583,13.40267038345337,213.852632522583,0.2108717621135488,16,13a35bea,"trainable_13a35bea_11_alignn_layers=2,batch_size=4,gcn_layers=4,hidden_features=128,loss=smoothl1,lr=0.0004,weight_decay=0.0001_2026-07-09_02-28-13",0.1154326996396458,0.5116536817034317,0.7013809849204562,0.660117266495189,13a35bea,11,16,0.1154326996396458,16,16,213.852632522583,ASHA-stopped,True,29
7,0.2434647464878344,4,8,2,192,mse,0.0004466211263152,1.462766386745555e-05,False,73.95424962043762,7,7,group_B,75.50355553627014,10.534451246261597,75.50355553627014,0.5427194019930389,7,4d3a914d,"trainable_4d3a914d_12_alignn_layers=4,batch_size=8,gcn_layers=2,hidden_features=192,loss=mse,lr=0.0004,weight_decay=0.0000_2026-07-09_02-29-56",0.2434647464878344,0.5246992728739459,0.6892243189180365,0.6734197926682479,4d3a914d,12,7,0.2434647464878344,8,8,86.22615647315979,ASHA-stopped,True,30
14,0.2379568588166009,3,8,2,192,mse,0.0008321131273903,1.5842168168299793e-05,False,136.95968317985535,14,14,group_A,138.52123260498047,9.843231201171877,138.52123260498047,0.4236735520373056,14,26634072,"trainable_26634072_19_alignn_layers=3,batch_size=8,gcn_layers=2,hidden_features=192,loss=mse,lr=0.0008,weight_decay=0.0000_2026-07-09_02-29-50",0.2379568588166009,0.5069809953270332,0.6962549873285481,0.6657588390821924,26634072,19,14,0.2379568588166009,16,16,158.1038248538971,ASHA-stopped,True,31
24,0.0769954817714514,3,4,2,64,smoothl1,0.0004520714796602,1.842231904610259e-05,False,317.63645195961,24,24,group_A,319.14288115501404,13.09621000289917,319.14288115501404,0.1643455107521616,24,2339214e,"trainable_2339214e_20_alignn_layers=3,batch_size=4,gcn_layers=2,hidden_features=64,loss=smoothl1,lr=0.0005,weight_decay=0.0000_2026-07-09_02-30-13",0.0769954817714514,0.4015265875381276,0.7961268487255602,0.5454342194091923,2339214e,20,24,0.0769954817714514,32,32,424.79261445999146,ASHA-stopped,True,32
30,0.0793212005208251,3,8,4,256,smoothl1,0.0009822339817376,1.980441713494485e-05,False,313.34947776794434,30,30,group_B,314.8266427516937,10.492141246795654,314.8266427516937,0.0979890967421895,30,627a2285,"trainable_627a2285_13_alignn_layers=3,batch_size=8,gcn_layers=4,hidden_features=256,loss=smoothl1,lr=0.0010,weight_decay=0.0000_2026-07-09_02-30-07",0.0793212005208251,0.416492288230042,0.7850437467691058,0.5600636740123851,627a2285,13,30,0.0793212005208251,32,32,335.57947850227356,ASHA-stopped,True,33
13,0.1173722911133337,2,4,1,128,smoothl1,0.0012444519726146,6.882272281295304e-06,False,145.57949590682983,13,13,group_A,147.13920760154724,11.06420636177063,147.13920760154724,0.225636312648546,13,3751b2a7,"trainable_3751b2a7_21_alignn_layers=2,batch_size=4,gcn_layers=1,hidden_features=128,loss=smoothl1,lr=0.0012,weight_decay=0.0000_2026-07-09_02-30-42",0.1173722911133337,0.5061068404046529,0.6853478945632234,0.677606688715601,3751b2a7,21,13,0.1173722911133337,16,16,180.5110239982605,ASHA-stopped,True,34
50,0.0672140995819101,1,8,3,64,smoothl1,0.000303205299573,2.562383962079881e-05,True,433.82281947135925,50,50,group_A,435.34026741981506,8.595096349716187,435.34026741981506,0.0856975214831761,50,99e278c5,"trainable_99e278c5_22_alignn_layers=1,batch_size=8,gcn_layers=3,hidden_features=64,loss=smoothl1,lr=0.0003,weight_decay=0.0000_2026-07-09_02-31-01",0.0672140995819101,0.3638343718022659,0.8220602940841224,0.5095640696822812,99e278c5,22,50,0.0672140995819101,50,50,435.34026741981506,full-budget,True,35
50,0.0641555641408241,1,8,3,128,smoothl1,0.0003105295089347,9.357939521720598e-06,True,442.686051607132,50,50,group_A,444.118212223053,8.823680877685547,444.118212223053,0.0645110863331433,50,161fc998,"trainable_161fc998_23_alignn_layers=1,batch_size=8,gcn_layers=3,hidden_features=128,loss=smoothl1,lr=0.0003,weight_decay=0.0000_2026-07-09_02-31-04",0.0641555641408241,0.353059228131277,0.8290730990029141,0.499421888558708,161fc998,23,50,0.0641555641408241,50,50,444.118212223053,full-budget,True,36
14,0.1020932061568139,3,8,1,64,smoothl1,0.0004904695088381,1.3973457575939029e-06,False,130.56951189041138,14,14,group_B,132.0679051876068,9.420494318008425,132.0679051876068,0.1596954630404573,14,1243107d,"trainable_1243107d_14_alignn_layers=3,batch_size=8,gcn_layers=1,hidden_features=64,loss=smoothl1,lr=0.0005,weight_decay=0.0000_2026-07-09_02-30-51",0.1020932061568139,0.47024359341386,0.7257100958448086,0.632655480602229,1243107d,14,14,0.1020932061568139,16,16,150.5977864265442,ASHA-stopped,True,37
47,0.0682907207726092,1,8,3,64,smoothl1,0.0003673247395515,1.4362917209756108e-05,False,403.7894477844238,47,47,group_A,405.2814040184021,8.502652406692505,405.2814040184021,0.0782198090170012,47,493d3e02,"trainable_493d3e02_24_alignn_layers=1,batch_size=8,gcn_layers=3,hidden_features=64,loss=smoothl1,lr=0.0004,weight_decay=0.0000_2026-07-09_02-31-18",0.0682907207726092,0.3762276732554814,0.8183100626152935,0.5149058202105793,493d3e02,24,47,0.0682907207726092,50,50,430.957213640213,full-budget,True,38
