best_epoch,best_val_loss_model_space,config_alignn_layers,config_batch_size,config_gcn_layers,config_hidden_features,config_loss,config_lr,config_weight_decay,done,epoch,num_reported_rows,run_group,test_mae,test_r2,test_rmse,time_total_s,training_iteration,trial_name,val_loss_model_space,val_mae,val_r2,val_rmse
5,0.3065786412153294,4,8,3,128,mse,0.0005453855417929,3.4829769106529923e-06,True,8,8,group_A,,,,89.04143357276917,8,"trainable_49fa37bd_138_alignn_layers=4,batch_size=8,gcn_layers=3,hidden_features=128,loss=mse,lr=0.0005,weight_decay=0.0000_2026-07-09_03-19-59",0.3680679005762887,0.6004107507395338,0.5301720037858862,0.8280028073753816
14,0.1025094946737958,2,8,3,64,smoothl1,0.0004989764122241,4.4279684812918585e-05,True,16,16,group_A,,,,149.57326292991638,16,"trainable_4a5a79ed_39_alignn_layers=2,batch_size=8,gcn_layers=3,hidden_features=64,loss=smoothl1,lr=0.0005,weight_decay=0.0000_2026-07-09_02-43-13",0.1448932450028165,0.5253605263172866,0.5671996091277537,0.7947054391053415
47,0.055967683943294,1,8,3,64,smoothl1,0.0007040684976381,1.6818305783944468e-05,True,50,50,group_A,,,,427.671941280365,50,"trainable_4b40b9f2_70_alignn_layers=1,batch_size=8,gcn_layers=3,hidden_features=64,loss=smoothl1,lr=0.0007,weight_decay=0.0000_2026-07-09_02-54-24",0.0561739035128127,0.3242096805092732,0.8478742181853153,0.4711549680482162
47,0.0644119404177501,3,8,3,64,smoothl1,0.0003487250488536,3.058504729955101e-05,True,50,50,group_A,,,,524.0115833282471,50,"trainable_4b54ab4c_25_alignn_layers=3,batch_size=8,gcn_layers=3,hidden_features=64,loss=smoothl1,lr=0.0003,weight_decay=0.0000_2026-07-09_02-32-45",0.082082765167037,0.399032243919539,0.7720021737444667,0.5768032735335858
15,0.0927505996768121,3,8,1,64,smoothl1,0.0008059378182495,4.7267308766855854e-05,True,16,16,group_A,,,,149.95184874534607,16,"trainable_4c980617_81_alignn_layers=3,batch_size=8,gcn_layers=1,hidden_features=64,loss=smoothl1,lr=0.0008,weight_decay=0.0000_2026-07-09_03-02-45",0.1323112901201639,0.5193652306695372,0.6302197683827193,0.7345717263169893
7,0.3197093352911964,4,8,2,128,mse,0.000661915962248,2.1333289811339332e-06,True,8,8,group_A,,,,86.36024856567383,8,"trainable_4e7d0b09_165_alignn_layers=4,batch_size=8,gcn_layers=2,hidden_features=128,loss=mse,lr=0.0007,weight_decay=0.0000_2026-07-09_03-29-13",0.4906758605724289,0.6705242275081184,0.3736665156846825,0.9560160386300632
32,0.0770531986204404,1,8,3,64,smoothl1,0.0005836862163172,1.211627316584993e-06,True,32,32,group_A,,,,279.0927836894989,32,"trainable_585fc241_38_alignn_layers=1,batch_size=8,gcn_layers=3,hidden_features=64,loss=smoothl1,lr=0.0006,weight_decay=0.0000_2026-07-09_02-42-00",0.0770531986204404,0.387915422376558,0.7815004400845745,0.5646608096828012
41,0.0591628484763007,3,8,3,256,smoothl1,0.0007410129911375,1.0281359897779108e-06,True,50,50,group_A,,,,505.2243130207062,50,"trainable_58e2c8d4_29_alignn_layers=3,batch_size=8,gcn_layers=3,hidden_features=256,loss=smoothl1,lr=0.0007,weight_decay=0.0000_2026-07-09_02-35-22",0.0623610111732016,0.326807487888462,0.8269993640410918,0.502442320915009
7,0.3012196701512765,1,8,3,64,mse,0.0005259115378642,6.63056305113961e-06,True,8,8,group_A,,,,69.97007369995117,8,"trainable_5a83bbe4_84_alignn_layers=1,batch_size=8,gcn_layers=3,hidden_features=64,loss=mse,lr=0.0005,weight_decay=0.0000_2026-07-09_03-03-17",0.3451105921908661,0.6103113064952774,0.5594763490599396,0.8017647866315002
8,0.328695752160259,3,4,1,64,mse,0.000763750150743,1.6244900418768763e-05,True,8,8,group_A,,,,100.07253122329712,8,"trainable_5bcb871f_92_alignn_layers=3,batch_size=4,gcn_layers=1,hidden_features=64,loss=mse,lr=0.0008,weight_decay=0.0000_2026-07-09_03-06-26",0.328695752160259,0.6059882258892465,0.5804294227540161,0.7824649197132351
11,0.0924153448570342,1,8,3,192,smoothl1,0.000923492673619,4.3081748032972095e-05,True,16,16,group_A,,,,141.0256986618042,16,"trainable_5bd81391_100_alignn_layers=1,batch_size=8,gcn_layers=3,hidden_features=192,loss=smoothl1,lr=0.0009,weight_decay=0.0000_2026-07-09_03-08-31",0.1508381802332464,0.5555009388653439,0.5460773567879997,0.8138667142440783
